,AGVH,AGVD,AGVA,LEVEL,SUM
304,0.2,0.36,0.44,0,9.56
305,0.32,0.39,0.29,0,8.71
306,0.17,0.35,0.48,0,10.42
307,0.27,0.37,0.36,0,8.77
308,0.53,0.35,0.12,0,12.48
309,0.17,0.35,0.48,0,10.35
310,0.41,0.37,0.22,0,9.19
311,0.24,0.37,0.39,0,9.03
312,0.47,0.35,0.18,0,10.11
313,0.24,0.36,0.39,0,8.92
314,0.58,0.33,0.1,0,14.39
315,0.18,0.35,0.47,0,10.03
316,0.32,0.37,0.31,0,8.67
317,0.13,0.33,0.54,0,11.93
318,0.28,0.37,0.36,0,8.73
319,0.12,0.33,0.54,0,12.41
320,0.14,0.35,0.51,0,11.24
321,0.3,0.37,0.34,0,8.68
322,0.33,0.37,0.3,0,8.69
323,0.52,0.34,0.14,0,11.5
324,0.32,0.39,0.3,0,8.72
325,0.27,0.36,0.37,0,8.74
326,0.05,0.28,0.67,0,25.59
327,0.27,0.38,0.35,0,8.72
328,0.46,0.36,0.18,0,10.04
329,0.36,0.39,0.26,0,8.87
330,0.27,0.36,0.36,0,8.75
331,0.1,0.33,0.57,0,14.23
332,0.18,0.37,0.46,0,10.07
333,0.33,0.37,0.29,0,8.67
334,0.42,0.36,0.21,0,9.38
335,0.19,0.36,0.45,0,9.79
336,0.43,0.37,0.2,0,9.65
337,0.26,0.37,0.37,0,8.86
338,0.18,0.35,0.46,0,9.92
339,0.23,0.37,0.4,0,9.13
340,0.37,0.38,0.26,0,8.88
341,0.05,0.28,0.67,0,24.42
342,0.2,0.35,0.45,0,9.62
343,0.3,0.37,0.33,0,8.64
344,0.26,0.37,0.37,0,8.83
345,0.42,0.37,0.21,0,9.33
346,0.27,0.37,0.36,0,8.75
347,0.17,0.36,0.47,0,10.36
348,0.05,0.28,0.67,0,23.71
349,0.31,0.36,0.34,0,8.6
350,0.18,0.35,0.47,0,10.01
351,0.18,0.36,0.46,0,9.93
352,0.24,0.35,0.41,0,9.1
353,0.25,0.36,0.39,0,8.91
354,0.14,0.33,0.53,0,11.76
355,0.39,0.38,0.24,0,9.01
356,0.23,0.37,0.4,0,9.09
357,0.28,0.38,0.34,0,8.73
