,AGVH,AGVD,AGVA,LEVEL,SUM
297,0.21,0.39,0.41,1.0,9.39
298,0.19,0.35,0.46,1.0,9.82
299,0.25,0.38,0.37,1.0,8.85
300,0.4,0.37,0.23,2.0,9.12
301,0.05,0.31,0.64,1.0,24.91
302,0.43,0.37,0.2,2.0,9.61
303,0.09,0.31,0.59,2.0,14.87
304,0.26,0.38,0.37,1.0,8.82
305,0.06,0.31,0.63,3.0,19.54
306,0.13,0.32,0.55,1.0,12.14
307,0.08,0.31,0.62,4.0,17.05
308,0.39,0.38,0.23,1.0,9.05
309,0.26,0.37,0.37,2.0,8.79
310,0.2,0.36,0.43,1.0,9.47
311,0.21,0.37,0.42,1.0,9.37
312,0.08,0.3,0.61,1.0,16.23
313,0.23,0.38,0.4,1.0,9.11
314,0.07,0.31,0.62,2.0,19.22
315,0.11,0.34,0.55,2.0,13.25
316,0.07,0.32,0.61,1.0,18.3
317,0.17,0.36,0.47,1.0,10.33
318,0.37,0.38,0.26,1.0,8.85
319,0.26,0.38,0.36,2.0,8.81
320,0.36,0.38,0.26,2.0,8.81
321,0.07,0.33,0.6,3.0,18.55
322,0.12,0.33,0.55,1.0,12.54
323,0.07,0.3,0.63,1.0,18.43
324,0.24,0.36,0.4,1.0,8.98
325,0.09,0.33,0.58,2.0,15.59
326,0.25,0.37,0.38,5.0,8.88
327,0.11,0.34,0.55,1.0,12.93
328,0.09,0.33,0.58,1.0,14.9
329,0.12,0.34,0.54,2.0,12.44
330,0.08,0.32,0.6,1.0,17.09
331,0.24,0.38,0.38,4.0,8.98
332,0.1,0.35,0.55,3.0,14.32
333,0.15,0.36,0.49,1.0,10.74
334,0.06,0.32,0.61,1.0,19.32
335,0.07,0.31,0.62,1.0,17.89
336,0.16,0.35,0.49,2.0,10.65
337,0.1,0.32,0.59,1.0,14.5
338,0.21,0.37,0.42,2.0,9.36
339,0.05,0.27,0.68,2.0,23.21
340,0.08,0.32,0.6,4.0,16.72
341,0.08,0.32,0.6,1.0,16.71
342,0.28,0.38,0.34,1.0,8.68
343,0.18,0.35,0.47,1.0,9.9
344,0.56,0.33,0.11,1.0,13.42
